experiment,turn,question,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,invocation_latency
1,1,Please summarize the storyline of the play.,4,195,1971,0,7.940295696258545
1,2,Who are the main characters in the tragedy?,4,201,208,1971,6.801983833312988
1,3,Why are the Montagues and Capulets in conflict with each other?,4,136,222,2179,6.155213117599487
1,4,What role does the Nurse play in Juliet's life?,4,191,154,2401,8.552239418029785
1,5,How does Romeo respond after killing Tybalt?,4,183,206,2555,6.3331992626190186
1,6,What advice does Friar Lawrence give to Romeo after his banishment?,4,212,2963,0,7.910955429077148
1,7,Why does Paris visit the Capulet tomb in the final scene?,4,178,231,2963,4.92471981048584
1,8,What message fails to reach Romeo and what are the consequences?,4,244,194,3194,6.416910409927368
1,9,How do the parents react to finding their children dead?,4,240,259,3388,7.192187309265137
1,10,What reconciliation occurs between the families at the end of the play?,4,256,3905,0,11.103675365447998
